City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Hervey Bay,AU,77.02,scattered clouds,-25.2986,152.8535,Hervey Bay
259,Lodwar,KE,81.07,scattered clouds,3.1191,35.5973,Lodwar
267,Atar,MR,77.04,scattered clouds,20.5169,-13.0499,Atar
269,Pangkalanbuun,ID,78.57,overcast clouds,-2.6833,111.6167,Pangkalan Bun
270,Garowe,SO,71.69,few clouds,8.4054,48.4845,Garowe
273,Tecoanapa,MX,80.91,scattered clouds,16.5167,-98.75,Barra de Tecoanapa
278,Tambacounda,SN,80.65,clear sky,13.7539,-13.7586,Sitokoto
280,Soyo,AO,76.37,overcast clouds,-6.1349,12.3689,Soyo
282,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Puerto Escondido
286,Curico,CL,80.71,overcast clouds,-34.9833,-71.2333,Curico
289,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Cabo San Lucas
290,Hambantota,LK,76.82,broken clouds,6.1241,81.1185,Hambantota
299,Porto Novo,BJ,77.9,light rain,6.4965,2.6036,Porto-Novo
303,Manzanillo,CU,78.15,broken clouds,20.3433,-77.1167,Manzanillo
306,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Cabedelo
307,Sur,OM,75.34,few clouds,22.5667,59.5289,Sur
309,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Saint George's
314,Kulhudhuffushi,MV,81.01,scattered clouds,6.6221,73.07,Kulhudhuffushi
315,Los Llanos De Aridane,ES,70.12,clear sky,28.6585,-17.9182,Los Llanos
318,Bara,NG,72.46,overcast clouds,10.3744,10.7288,Bara
320,San Policarpo,PH,81.25,broken clouds,12.1791,125.5072,Oras
323,San Juan,AR,89.4,clear sky,-31.5375,-68.5364,San Juan
325,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Santa Cruz de la Sierra
326,Gombong,ID,79.92,overcast clouds,-7.6072,109.5142,Dakota Buana Semesta. PT - Gombong
329,Mitsamiouli,KM,77.65,broken clouds,-11.3847,43.2844,Mitsamiouli
331,Guerrero Negro,MX,73.18,clear sky,27.9769,-114.0611,Guerrero Negro
335,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Cayenne
341,Kyaikkami,MM,77.67,overcast clouds,16.08,97.5675,Hnit Kaing
342,Le Vauclin,MQ,80.65,few clouds,14.5452,-60.8388,Le Vauclin
347,Piacabucu,BR,76.6,broken clouds,-10.4056,-36.4344,Piaçabuçu
350,Lupiro,TZ,72.36,clear sky,-8.3833,36.6667,Lupiro
351,Camopi,GF,75.07,overcast clouds,3.1655,-52.3158,Camopi
352,Port-Gentil,GA,76.82,moderate rain,-0.7193,8.7815,Port-Gentil
353,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Kununurra
355,Itaituba,BR,79.63,overcast clouds,-4.2761,-55.9836,Itaituba
360,Emerald,AU,77.34,broken clouds,-23.5333,148.1667,Emerald
362,Wajir,KE,77.43,few clouds,1.7471,40.0573,Wajir
363,Dulce Nombre De Culmi,HN,84.43,overcast clouds,15.1,-85.5333,Dulce Nombre de Culmi
370,Breves,BR,79.57,broken clouds,-1.6822,-50.4803,Breves
372,Basco,PH,80.65,scattered clouds,20.4487,121.9702,Basco
379,Tambun,ID,77.04,light rain,-6.2641,107.0712,Bekasi Regency
381,Chateaubelair,VC,79.03,overcast clouds,13.2833,-61.25,Richmond
383,Labuhan,ID,81.27,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
385,Kahului,US,84.22,few clouds,20.8947,-156.47,Kahului
386,Pilar,BR,72.34,broken clouds,-9.5972,-35.9567,Pilar
390,Baillif,GP,76.64,clear sky,16.0202,-61.7463,Basse-Terre
396,Santa Rita,BR,79.47,few clouds,-7.1139,-34.9781,Santa Rita
397,Itapirapua,BR,82.69,broken clouds,-15.8233,-50.6133,Itapirapuã
399,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Lufi-lufi
